text,label
"No way, I’m booked today",0
"Yes please, let’s roll! You’re awesome",1
"Can’t, I’ve got stuff to do",0
I don't think so.,0
"Pass, I’m not feeling it. I’ve got a ton of schoolwork, and some errands to run too. I’m not up for going out since I just want to rest. Maybe we can try again later.",0
"Haha uy, kinilig ako! Let’s go",1
"Game ako, tara na, excited na ako sa pupuntahan natin, let's go have fun!",1
"Tara, go na tayo!",1
"Sige na, kain tayo mamaya ha",1
"Putangina di ko feel, pass muna",0
"Sure, I’m game to go out! I’ve been stuck inside too long, and hanging out with you sounds perfect. Where are we headed? I’m pumped to make it a fun day, so let’s get the details sorted soon!",1
"Haha ulol ka ba, di ko trip yan",0
"Yes, let’s go out! You’re fun",1
"I'm so excited for this, let's make some memories!",1
"Nah, I’m good for now",0
"Not into it, sorry dude",0
Landi mo ah 😏 pero I like it haha,1
"Game ako, tara na, excited na ako sa pupuntahan natin, let's go have fun together, I'm really looking forward to it!",1
"Great idea, let's definitely do that, I'm excited to go out!",1
"Heck yeah, I’m down! You asking me out is awesome, and I’ve been craving some fun. Where should we meet? I’m free this week, so let’s make it a great day together!",1
"Pass, I’m not in the mood",0
"I'm not available, I'm very busy right now, please stop asking me out.",0
"Haha, cute!",1
"Sure thing, let’s go! You’re fun",1
San tayo pupunta?,1
"Uy sige gago, sama ako sa gala mo!",1
"Gago friends lang tayo ha, wag assuming",0
"Haha sige, san tayo punta?",1
"Nah, wag muna ngayon. Super busy kasi ako sa work lately, tapos may mga lakad pa ko with friends this week. Di rin ako feel mag-out kasi gusto ko lang mag-relax sa bahay. Next time.",0
"Yes please, I’m in! What’s the deal?",1
"Huwag mo akong kausapin, please leave me alone, I'm not interested in you, please stop.",1
"Saan tayo pupunta, excited na ako sa place!",1
"Lol hell yeah, I’m down! You prick",1
"Lol okay, I’m in! What’s the plan?",1
"Yes, I’m excited! Pick a spot",1
"No thanks, I’ll sit this one out",0
"No thanks, I’m not up for it. School’s been draining, and I’ve got plans with friends too. I’d rather just relax at home since I’m worn out. Let’s try later when I’m free.",0
"Haha sure, let’s go! You fucking idiot",1
"I'm ready to go, let's have a great time!",1
"Heck yes, I’m up! Where we going?",1
Let's go!,1
"Fuck yes, I’m in! You’re a cute moron",1
"Okay dickhead, I’m in! Where we going?",1
"Sorry, I can’t right now. I’ve got a lot of work to finish, and there’s some stuff at home I need to take care of too. I’m not really feeling up for going out since I’m tired. Let’s wait until things settle down.",0
Uy okay sakin yan! Sama ako,1
"Sure thing, let’s do it! You’re fun",1
"I'm not interested in you, please stop asking me out, I'm not interested in you romantically, please stop texting me.",1
"Oo naman, gusto ko sumama, excited na excited na ako!",1
"I'm looking forward to seeing you, let's go out and have a great time together!",1
"No way, I’m too busy this week",0
"You're creeping me out, please stop with the advances, I'm not interested.",0
"I'm so excited to see you, let's go on that date tonight!",1
"Okay, fine, let's go, I guess I'll give it a try, but I'm not sure.",1
"I'm not going, don't ask me again, I'm not interested in dating you, please stop texting me, I'm not interested in you.",0
Lol okay sakin yan! Tara na,1
What's up?,1
I'd love to go!,1
"Di ko feel eh, sorry",0
Haha okay lang sakin! Tara!,1
"Sige, sabihan mo lang ako kung kelan",1
"Sorry, not really feeling it today",0
"Can’t make it, maybe another time",0
"Can’t, I’ve got other things going",0
"Di ko feel eh, sorry ha",0
